Entity,Year,Total number of international immigrants
Eastern and South-Eastern Asia (UN),2024,22588980
Ecuador,1990,139204
Ecuador,1995,145626
Ecuador,2000,150585
Ecuador,2005,144415
Ecuador,2010,358874
Ecuador,2015,332142
Ecuador,2020,721560
Ecuador,2024,747749
Egypt,1990,144713
Egypt,1995,160802
Egypt,2000,179364
Egypt,2005,288944
Egypt,2010,323177
Egypt,2015,499292
Egypt,2020,602472
Egypt,2024,1139820
El Salvador,1990,47360
El Salvador,1995,39537
El Salvador,2000,31713
El Salvador,2005,36029
El Salvador,2010,40342
El Salvador,2015,42059
El Salvador,2020,42767
El Salvador,2024,43342
Equatorial Guinea,1990,2740
Equatorial Guinea,1995,3629
Equatorial Guinea,2000,4517
Equatorial Guinea,2005,6588
Equatorial Guinea,2010,8658
Equatorial Guinea,2015,209611
Equatorial Guinea,2020,230618
Equatorial Guinea,2024,248930
Eritrea,1990,11848
Eritrea,1995,12400
Eritrea,2000,12952
Eritrea,2005,15905
Eritrea,2010,15813
Eritrea,2015,15941
Eritrea,2020,13934
Eritrea,2024,12512
Estonia,1990,381997
Estonia,1995,315755
Estonia,2000,249512
Estonia,2005,233701
Estonia,2010,217890
Estonia,2015,194664
Estonia,2020,199277
Estonia,2024,203046
Eswatini,1990,74991
Eswatini,1995,35157
Eswatini,2000,34084
Eswatini,2005,33392
Eswatini,2010,32637
Eswatini,2015,32352
Eswatini,2020,32858
Eswatini,2024,33268
Ethiopia,1990,875325
Ethiopia,1995,478712
Ethiopia,2000,311441
Ethiopia,2005,170773
Ethiopia,2010,227078
Ethiopia,2015,797374
Ethiopia,2020,875170
Ethiopia,2024,1168455
Europe,1990,51447080
Europe,1995,56458023
Europe,2000,59200614
Europe,2005,65844990
Europe,2010,72620117
Europe,2015,75805539
Europe,2020,83078211
Europe,2024,94168026
Europe and Northern America (UN),1990,79008202
Europe and Northern America (UN),1995,89861179
Europe and Northern America (UN),2000,99542834
Europe and Northern America (UN),2005,111451697
Europe and Northern America (UN),2010,123517093
Europe and Northern America (UN),2015,131730220
Europe and Northern America (UN),2020,141802488
Europe and Northern America (UN),2024,155259380
European Union (27),1990,24649984
European Union (27),1995,29023930
European Union (27),2000,31944954
European Union (27),2005,38186192
European Union (27),2010,43690985
European Union (27),2015,47117669
European Union (27),2020,54404693
European Union (27),2024,63315939
Falkland Islands,1990,855
Falkland Islands,1995,868
Falkland Islands,2000,1067
Falkland Islands,2005,1166
Falkland Islands,2010,1436
Falkland Islands,2015,1571
Falkland Islands,2020,1957
Falkland Islands,2024,2333
Faroe Islands,1990,4285
Faroe Islands,1995,2900
Faroe Islands,2000,3593
Faroe Islands,2005,4583
Faroe Islands,2010,5096
Faroe Islands,2015,5485
Faroe Islands,2020,6812
Faroe Islands,2024,8101
Fiji,1990,13283
Fiji,1995,13001
Fiji,2000,12719
Fiji,2005,12434
Fiji,2010,13357
Fiji,2015,13751
Fiji,2020,14087
Fiji,2024,14362
Finland,1990,63255
Finland,1995,99729
Finland,2000,136203
Finland,2005,192169
Finland,2010,228481
Finland,2015,314856
Finland,2020,386052
Finland,2024,514432
France,1990,5890023
France,1995,5936326
France,2000,6141350
France,2005,6839877
France,2010,7322210
France,2015,7978076
France,2020,8610719
France,2024,9186757
French Guiana,1990,63612
French Guiana,1995,70131
French Guiana,2000,76649
French Guiana,2005,86468
French Guiana,2010,96288
French Guiana,2015,106108
French Guiana,2020,119249
French Guiana,2024,130924
French Polynesia,1990,25830
French Polynesia,1995,28360
French Polynesia,2000,30329
French Polynesia,2005,32286
French Polynesia,2010,31640
French Polynesia,2015,30058
French Polynesia,2020,30081
French Polynesia,2024,30099
Gabon,1990,128188
Gabon,1995,171427
Gabon,2000,214431
Gabon,2005,233824
Gabon,2010,270829
Gabon,2015,378686
Gabon,2020,416651
Gabon,2024,449746
Gambia,1990,118123
Gambia,1995,150890
Gambia,2000,182514
Gambia,2005,181839
Gambia,2010,185837
Gambia,2015,192540
Gambia,2020,215659
Gambia,2024,236137
Georgia,1990,304470
Georgia,1995,152235
Georgia,2000,76117
Georgia,2005,71296
Georgia,2010,73078
Georgia,2015,76685
Georgia,2020,79368
Georgia,2024,81582
Germany,1990,6960112
Germany,1995,9637208
Germany,2000,10397459
Germany,2005,11210590
Germany,2010,11665950
Germany,2015,12646813
Germany,2020,15021300
Germany,2024,16750084
Ghana,1990,164851
Ghana,1995,252879
Ghana,2000,191601
Ghana,2005,309932
Ghana,2010,337766
Ghana,2015,414744
Ghana,2020,476412
Ghana,2024,532286
Gibraltar,1990,8709
Gibraltar,1995,8381
Gibraltar,2000,8054
Gibraltar,2005,9211
Gibraltar,2010,10369
Gibraltar,2015,11065
Gibraltar,2020,11190
Gibraltar,2024,11291
Greece,1990,618139
Greece,1995,857850
Greece,2000,1111665
Greece,2005,1190707
Greece,2010,1321149
Greece,2015,1242924
Greece,2020,1340456
Greece,2024,1423964
Greenland,1990,9282
Greenland,1995,7121
Greenland,2000,6601
Greenland,2005,6556
Greenland,2010,6091
Greenland,2015,6009
Greenland,2020,5899
Greenland,2024,5812
Grenada,1990,4263
Grenada,1995,5544
Grenada,2000,6825
Grenada,2005,6902
Grenada,2010,6980
Grenada,2015,7057
Grenada,2020,7213
Grenada,2024,7340
Guadeloupe,1990,65944
Guadeloupe,1995,74566
Guadeloupe,2000,83188
Guadeloupe,2005,89065
Guadeloupe,2010,94942
Guadeloupe,2015,90956
Guadeloupe,2020,90206
Guadeloupe,2024,89610
Guam,1990,69755
Guam,1995,71912
Guam,2000,74070
Guam,2005,74743
Guam,2010,75416
Guam,2015,76089
Guam,2020,80472
Guam,2024,84159
Guatemala,1990,264257
Guatemala,1995,156188
Guatemala,2000,48119
Guatemala,2005,57214
Guatemala,2010,66386
Guatemala,2015,74852
Guatemala,2020,84311
Guatemala,2024,92732
Guinea,1990,403621
Guinea,1995,774505
Guinea,2000,560075
Guinea,2005,233419
Guinea,2010,178762
Guinea,2015,126657
Guinea,2020,121437
Guinea,2024,117416
Guinea-Bissau,1990,15368
Guinea-Bissau,1995,27961
Guinea-Bissau,2000,20450
Guinea-Bissau,2005,20902
Guinea-Bissau,2010,21391
Guinea-Bissau,2015,22333
Guinea-Bissau,2020,17945
Guinea-Bissau,2024,15064
Guyana,1990,4095
Guyana,1995,6352
Guyana,2000,8610
Guyana,2005,10868
Guyana,2010,8182
Guyana,2015,8661
Guyana,2020,31169
Guyana,2024,54175
Haiti,1990,19084
Haiti,1995,18129
Haiti,2000,17222
Haiti,2005,16360
Haiti,2010,17182
Haiti,2015,18047
Haiti,2020,18884
Haiti,2024,19581
High-income countries,1990,88815102
High-income countries,1995,102522967
High-income countries,2000,116020954
High-income countries,2005,133462345
High-income countries,2010,155100752
